SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
HITECHPLAS,RED,2,3,168.69
HMT,RED,1,4,43.31
HMVL,RED,2,3,271.44
HNGSNGBEES,GREEN,2,3,2219.87
HOCL,GREEN,2,3,26.86
HONAUT,GREEN,4,1,9275.08
HONDAPOWER,GREEN,3,2,1511.99
HOTELEELA,GREEN,4,1,16.9
HOVS,RED,1,4,129.01
HSIL,RED,3,2,292.3
HTMEDIA,GREEN,1,4,81.65
HUBTOWN,GREEN,1,4,95.75
HUDCO,GREEN,4,9,3606.02
HUDCO,GREEN,4,9,3606.02
HUDCO,GREEN,4,9,3606.02
HUSYS,null,0,0,0
IBREALEST,RED,3,2,80.81
IBULHSGFIN,NEAUTRAL,4,3,2367.59
IBVENTURES,GREEN,3,1,21.96
IBWSL,RED,0,5,24.95
ICICIBANK,RED,3,2,268.78
ICIL,GREEN,3,2,179.83
ICRA,RED,3,2,4030.9
ICSA,RED,1,2,2.78
IDBI,RED,3,2,74.54
IDBIGOLD,GREEN,4,0,2645.44
IDEA,RED,2,3,68.95
IDFC,RED,2,4,70.52
IDFCBANK,GREEN,23,12,52830.09
IDFCBANK,GREEN,23,12,52830.09
IDFCBANK,GREEN,23,12,52830.09
IDFCBANK,GREEN,23,12,52830.09
IDFCBANK,GREEN,23,12,52830.09
IFBAGRO,GREEN,3,2,449.26
IFBIND,RED,1,4,476.64
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFCI,NEAUTRAL,1,5,2243.86
IFGLREFRAC,RED,1,4,192.29
IGARASHI,RED,2,3,722.93
IGL,RED,2,3,925.56
IGOLD,null,0,0,0
IGPL,GREEN,3,2,237.86
IIFL,RED,3,2,267.14
IIFLFIN,GREEN,12,4,5153.89
IIFLFIN,GREEN,12,4,5153.89
IIFLFIN,GREEN,12,4,5153.89
IIFLFIN,GREEN,12,4,5153.89
IIFLFIN,GREEN,12,4,5153.89
IIFLFIN,GREEN,12,4,5153.89
IIHFL,NEAUTRAL,7,3,2743.5
IIHFL,NEAUTRAL,7,3,2743.5
IIHFL,NEAUTRAL,7,3,2743.5
IITL,NEAUTRAL,0,1,28.15
IL&FSENGG,GREEN,3,1,48.72
IL&FSTRANS,RED,0,5,113.03
IMFA,RED,2,3,691.06
IMPAL,GREEN,2,3,750.29
IMPEXFERRO,RED,3,1,1.9
INDBANK,RED,1,3,14.3
INDHOTEL,GREEN,4,1,104.52
INDIACEM,RED,2,3,135.59
INDIAGLYCO,GREEN,2,3,166.43
INDIANB,RED,4,1,247.95
INDIANCARD,RED,2,3,219.28
INDIANHUME,RED,1,4,377.66
INDIGO,RED,1,4,883.73
INDLMETER,GREEN,4,1,90.64
INDNIPPON,GREEN,2,3,596.27
INDOCO,RED,2,3,272.27
INDORAMA,NEAUTRAL,1,3,33.64
INDOSOLAR,RED,2,2,7.45
INDOTECH,RED,1,4,221.88
INDOTHAI,RED,2,3,23.07
INDOWIND,RED,2,1,4.91
INDRAMEDCO,RED,2,3,53.33
INDSWFTLAB,RED,1,4,37.67
INDSWFTLTD,NEAUTRAL,3,1,5.85
INDTERRAIN,RED,1,4,147.85
INDUSINDBK,RED,2,3,1219.08
INFINITE,RED,0,5,232.9
INFOMEDIA,RED,2,3,5.86
INFRABEES,RED,3,2,292.96
INFRATEL,RED,2,3,354.29
INFY,RED,1,4,959.15
INFY,RED,1,4,959.15
INGERRAND,RED,2,3,666.92
INIFTY,null,0,0,0
INOXLEISUR,RED,3,2,230.08
INOXWIND,RED,2,3,186.5
INSECTICID,RED,0,5,533.06
INTELLECT,RED,2,3,145.88
INVENTURE,RED,3,2,18.39
IOB,GREEN,2,2,25.59
IOC,RED,1,4,352.75
IOLCP,RED,2,3,101.35
IPAPPM,RED,3,2,324.76
IPCALAB,GREEN,4,1,549.22
IRB,RED,2,3,218.07
IREDA,NEAUTRAL,0,0,999
IRFC,GREEN,8,15,9127.05
IRFC,GREEN,8,15,9127.05
IRFC,GREEN,8,15,9127.05
IRFC,GREEN,8,15,9127.05
IRFC,GREEN,8,15,9127.05
ISFT,RED,1,4,390.07
ISMTLTD,RED,2,2,9.85
ITC,GREEN,3,2,251.08
ITDCEM,RED,1,4,159.57
ITI,RED,1,4,50.44
IVC,RED,2,3,15.54
IVP,GREEN,3,2,126.54
IVRCLINFRA,NEAUTRAL,1,3,4.61
IZMO,RED,0,4,48.28
J&KBANK,RED,2,3,62.07
JAGRAN,RED,0,5,180.29
JAGSNPHARM,RED,0,5,38.32
JAIBALAJI,RED,2,2,14.16
JAICORPLTD,GREEN,1,4,72.98
JAIHINDPRO,GREEN,2,0,5.11
JAMNAAUTO,RED,1,4,183.48
JAYAGROGN,RED,1,4,528.19
JAYBARMARU,RED,0,5,358.82
JAYNECOIND,GREEN,3,2,9.45
JAYSREETEA,GREEN,4,1,109.77
JBCHEPHARM,GREEN,3,2,345.95
JBFIND,RED,3,2,235.4
JBMA,GREEN,3,2,260.26
JCTEL,null,0,0,0
JENSONICOL,NEAUTRAL,1,3,7.66
JETAIRWAYS,RED,3,2,400.49
JHS,RED,1,4,38.05
JIKIND,NEAUTRAL,0,0,0.44
JINDALPHOT,GREEN,1,3,81.73
JINDALPOLY,RED,2,3,345.01
JINDALSAW,RED,1,4,61.54
JINDALSTEL,RED,1,4,79.01
JINDCOT,RED,2,2,15.62
JINDRILL,RED,2,3,203.23
JINDWORLD,GREEN,3,1,145.63
JISLDVREQS,RED,0,5,64.27
JISLJALEQS,RED,2,3,94.3
JKCEMENT,RED,3,2,702.97
JKIL,GREEN,3,2,239.7
JKLAKSHMI,RED,2,3,367.45
JKPAPER,RED,2,3,91.73
JKTYRE,GREEN,3,2,130.98
JMA,GREEN,3,2,183.82
JMCPROJECT,RED,1,4,220.37
JMFINANCIL,RED,3,2,72.39
JMTAUTOLTD,RED,1,4,20.13
JOCIL,GREEN,3,2,178.26
JPASSOCIAT,RED,1,4,9.96
